"№","Наименование поля","Описание","Формат значения поля"
1,"ROWNUM",,"xsd:string"
2,"Name",,"xsd:string"
3,"StationCapacity",,"xsd:string"
4,"BikeParkingSlotsAmount",,"xsd:string"
5,"Longitude_WGS84",,"xsd:string"
6,"Latitude_WGS84",,"xsd:string"
7,"AdmArea",,"xsd:string"
8,"District",,"xsd:string"
9,"Location",,"xsd:string"
10,"ClarificationOfLocation",,"xsd:string"
11,"DepartamentalAffiliation",,"xsd:string"
12,"OperOrgName",,"xsd:string"
13,"OperOrgWebsite",,"xsd:string"
14,"GLOBALID",,"xsd:string"